GTIN	 QEMB 
7896261402591	 12 
7896261402645	 24 
7896798601573	 24 
7891772157435	 12 
7891772157428	 12 
7891772157459	 24 
7891772157411	 12 
7891772157442	 24 
7896798601788	 9 
7896798601801	 24 
7896798601825	 24 
7896798602273	 24 
7898957983315	 24 
7898957983308	 24 
7892840818364	 8 
7898921567497	 6 
7892840272043	 24 
7892840818050	 14 
7892840816018	 14 
7892840816773	 24 
7892840817145	 24 
7892840816780	 24 
7892840257248	 24 
7892840256449	 24 
7898171341021	 24 
7898171341014	 24 
7898171340901	 24 
7892840814625	 24 
7892840814861	 24 
7892840818302	 30 
7892840818319	 30 
7790199602965	 6 
7898967047007	 6 
7797906000700	 20 
7891515546519	 12 
7896004006475	 18 
7896004006482	 18 
7898961303734	 12 
7898961303727	 12 
7892840816704	 24 
7892840816711	 24 
7892840817138	 24 
7892840814465	 15 
7892840814472	 8 
7892840816728	 24 
7898956700449	 12 
7892840225711	 12 
7892840215217	 12 
7797906000380	 12 
7894650003787	 12 
7896185312891	 24 
7896185312907	 24 
7896185312259	 24 
7891000288177	 12 
7891000288207	 12 
7891000288146	 12 
7891000288238	 12 
7898911931116	 12 
7891000259429	 12 
7898911931123	 12 
7891000067048	 24 
7891097102868	 6 
7896185310088	 12 
7896185310095	 27 
7898080641540	 12 
7898080641533	 24 
7896183201357	 12 
7896183201289	 12 
7891097102875	 6 
7891097102974	 6 
7891097102936	 6 
7891097102851	 6 
7891097102943	 6 
7891097101892	 6 
7891000090732	 24 
7891156060016	 27 
7891156061013	 27 
7891156063017	 27 
7896113100736	 12 
7891000081501	 12 
7891000379103	 27 
7891000023167	 27 
7891000389201	 27 
7896283004162	 12 
7896283003899	 12 
7896283005183	 6 
7896283003905	 12 
7898264981653	 24 
7898312300023	 40 
7898312300146	 40 
7898176581651	 12 
7896006716471	 12 
7898315990641	 20 
7891962058726	 24 
7891962058719	 24 
7891962048208	 42 
7898315991013	 20 
7622210661746	 36 
7622210661708	 36 
7622210661852	 36 
7622210661814	 24 
7891000316368	 66 
7896011106397	 30 
7896011101880	 30 
7896011101927	 30 
7898315991006	 20 
7898905376107	 12 
7891962035451	 30 
7622300992293	 44 
8852008301977	 8 
8852008302004	 8 
7898315991082	 20 
7898957617210	 18 
7898957617203	 18 
7898649351811	 18 
7898965335014	 24 
7898965335137	 24 
7898171340017	 24 
7898171340024	 12 
7898965335113	 24 
7898965335144	 24 
7702025123513	 24 
7896011105826	 12 
7898315991112	 20 
7898315991051	 20 
7896004002262	 30 
7896004002057	 30 
7896004002064	 30 
7896023600265	 48 
7896034669381	 48 
